claim,claim_label,topic,date_published,count,count2,focus,release
$6 billion went missing from the U.S. State Department while Hillary Clinton was in charge.            ,300,politics,5-Oct-16,6,2.449489743,politics,5-Oct-16
[Name of celebrity] has been summoned for jury duty in [name of town] because he or she supposedly owns property there.,150,fake_news,29-Jul-16,1,1,fake_news,29-Jul-16
106 people were killed at an ISIS-related California music festival bombing.            ,150,fake_news,12-Aug-16,8,2.828427125,fake_news,12-Aug-16
122 detainees released from confinement at Guantanamo Bay under President Obama have re-engaged in terrorist activities.,300,politics,7-Mar-17,9,3,politics,7-Mar-17
"30,000 scientists have signed a petition arguing that there is no convincing scientific evidence for anthropogenic climate change.",450,science,24-Oct-16,14,3.741657387,science,24-Oct-16
"300,000 pounds of rat meat disguised as chicken wings were sold in the U.S. before the Super Bowl.            ",150,fake_news,16-Feb-16,5,2.236067977,fake_news,16-Feb-16
40 million Russians conducted drills for an imminent nuclear strike.            ,450,language,4-Oct-16,5,2.236067977,language,4-Oct-16
"6,000 Muslim migrants with forged papers were captured trying to cross the U.S.-Mexico border.",300,fake_news,24-Oct-16,1,1,fake_news,24-Oct-16
"643,000 Americans declare bankruptcy over medical bills every year.            ",450,medical,22-Apr-16,7,2.645751311,medical,22-Apr-16
70 per cent of the persons arrested during protests in Charlotte had out-of-state IDs.,150,crime,26-Sep-16,3,1.732050808,crime,26-Sep-16
"92-year-old Pam Nelson of Victoria, Texas, was unable to vote because of new laws requiring voters to present ID.",150,politics,14-Apr-16,5,2.236067977,politics,14-Apr-16
"A  video shows a ""weather reporter"" getting smacked in the face by a flying fish during a television segment.",450,fake_news,9-Feb-16,4,2,fake_news,9-Feb-16
"A ""creepy clown"" was arrested after massacring 18 individuals in a haunted house attraction.            ",150,fake_news,27-Oct-16,3,1.732050808,fake_news,27-Oct-16
"A ""daith piercing"" can cure migraine headaches.",300,science,5-Nov-15,10,3.16227766,science,5-Nov-15
"A ""female physician in Munich"" penned an alarming warning letter about refugees.            ",0,politics,19-Oct-15,7,2.645751311,politics,19-Oct-15
"A ""gay sex predator"" sodomized two burglars after they broke into his home.            ",150,fake_news,7-Oct-16,2,1.414213562,fake_news,7-Oct-16
"A ""killer clown"" left a note at an elementary school threatening that ""kids will die"" if Halloween is not cancelled.",150,crime,6-Oct-16,4,2,crime,6-Oct-16
"A ""Make-A-Wish"" experience was ruined when a high school football player tackled a sick child running for a touchdown.            ",150,fauxtography,16-Dec-16,2,1.414213562,fauxtography,16-Dec-16
"A ""quick-thinking mom"" distracted a robber by performing a sex act on him in order to allow her family to safely escape.",150,fake_news,18-Jan-17,2,1.414213562,fake_news,18-Jan-17
"A ""secretly made Israeli intelligence video recording"" captures ""Bill Clinton raping a 13-year-old girl.""",150,fake_news,16-Oct-16,2,1.414213562,fake_news,16-Oct-16
"A ""YXX"" notation on Donald Trump's Selective Service record indicates he suffers from the genetic condition Klinefelter syndrome.            ",150,politics,6-Jan-17,13,3.605551275,politics,6-Jan-17
A $1.5 billion powerball lottery drawing scheduled for 13 January 2016 has been cancelled.            ,150,fake_news,12-Jan-16,1,1,fake_news,12-Jan-16
"A 12-year-old Afghan foster child in the U.K. turned out to be a 21-year-old trained ""jihadi.""",300,politics,25-Oct-16,1,1,politics,25-Oct-16
A 12-year-old Wisconsin girl in died as a result of receiving the Gardasil HPV vaccine.,150,medical,5-Aug-16,8,2.828427125,medical,5-Aug-16
A 14 August 1912 article from a New Zealand newspaper contains a brief story about how burning coal might produce future warming by adding carbon dioxide to the atmosphere.            ,750,science,18-Oct-16,8,2.828427125,science,18-Oct-16
A 17-year-old St. Cloud boy argued with a Muslim woman over his cross necklace at a Walmart or Scheels store.            ,150,politics,21-Jan-16,1,1,politics,21-Jan-16
A 191-year-old woman named Mama Esifiho lives in Nigeria.            ,300,fake_news,6-Jul-16,2,1.414213562,fake_news,6-Jul-16
A 1922 New York Times article reported that Adolf Hitler â€œwas merely using anti-Semitic propaganda as a bait to catch masses of followersâ€.            ,750,history,11-Nov-16,6,2.449489743,history,11-Nov-16
A 1940's Dr. Seuss political cartoon criticized Americans for not caring about the deaths of foreign children.,750,fauxtography,23-Nov-15,2,1.414213562,fauxtography,23-Nov-15
A 1955 photograph from Time magazine depicts that era's 'perfect body.'            ,150,fauxtography,6-Mar-15,4,2,fauxtography,6-Mar-15
A 1964 campaign ad for President Lyndon B. Johnson featured a purported Republican voter expressing concerns which eerily echoed threads of debate in the GOP in 2016.            ,750,politics,9-Mar-16,10,3.16227766,politics,9-Mar-16
A 1991 literary client list promotional booklet identified Barack Obama as having been born in Kenya.            ,750,political_news,18-May-12,1,1,political_news,18-May-12
A 2007 Harvard University study proved that areas with higher rates of gun ownership have lower crime rates.            ,150,politics,15-Oct-15,9,3,politics,15-Oct-15
A 2011 chart compares changes in the U.S. national debt over the last several presidencies.            ,600,political_news,23-Jan-12,7,2.645751311,political_news,23-Jan-12
A 2016 bill before the Kentucky legislature would have required men to get their wives' permission before obtaining a prescription for Viagra or other erectile dysfunction drug.,750,politics,20-Feb-17,7,2.645751311,politics,20-Feb-17
A 2016 Stanford study revealed widespread primary election fraud in multiple states favoring Hillary Clinton.            ,450,politics,15-Jun-16,6,2.449489743,politics,15-Jun-16
A 23-year-old Florida university student was arrested for marijuana possession and coerced into acting as an informant; she was subsequently murdered by drug dealers who discovered she was wearing a wire.            ,750,crime,11-Dec-15,13,3.605551275,crime,11-Dec-15
A 4-year-old boy was accused of hacking the FBI's databases.            ,150,fake_news,12-Aug-16,3,1.732050808,fake_news,12-Aug-16
"A 7-year-old boy is missing after being kidnapped from his home in Harrisburg, Pennsylvania.            ",300,inboxer_rebellion,3-Jan-17,5,2.236067977,inboxer_rebellion,3-Jan-17
A 7-year-old girl was flown to China to receive breast implants for her birthday.,150,fake_news,1-Mar-17,5,2.236067977,fake_news,1-Mar-17
A 9-year-old killed his parents after they turned off wi-fi in their home.            ,150,fake_news,24-Jun-16,2,1.414213562,fake_news,24-Jun-16
A â€œWelcome to Idahoâ€ sign warns potential criminals about gun-owning citizens.            ,150,fauxtography,4-Dec-14,6,2.449489743,fauxtography,4-Dec-14
A baby died at an unnamed medical facility because its parents refused to allow a black nurse to care for the child.            ,300,politics,10-Nov-15,3,1.732050808,politics,10-Nov-15
A baby was born with two separate minds enclosed in one head.            ,150,media_matters,2-Nov-14,3,1.732050808,media_matters,2-Nov-14
A baby was eaten by giant rats in South Africa.,150,crime,21-Dec-16,1,1,crime,21-Dec-16
"A babysitter in Missouri ate a ""three-month-old toddler"" while she was high on meth.            ",150,fake_news,25-Jan-16,1,1,fake_news,25-Jan-16
A backdrop of naval vessels displayed at the 2012 Democratic National Convention included images of Russian warships.            ,750,political_news,12-Sep-12,1,1,political_news,12-Sep-12
A Baltimore police officer shot and killed two-year-old Malik Gibson after mistaking his pacifier for a gun.            ,150,fake_news,7-Jul-16,1,1,fake_news,7-Jul-16
A ban on smoking in cars when children are present will take effect on 1 October 2016.,150,fake_news,24-May-16,3,1.732050808,fake_news,24-May-16
A bill introduced to the Tennessee General Assembly classifies children born from artificial insemination as illegitimate.,450,politics,17-Feb-17,12,3.464101615,politics,17-Feb-17
